Entity	Code	Year	Cantril ladder score	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"
Afghanistan	AFG	2011	4.25835	1961.0963	29249156	4.208668
Afghanistan	AFG	2012		2122.8308	30466484	6.393913
Afghanistan	AFG	2015	3.36	2108.714	33753500	9.975262
Afghanistan	AFG	2016	3.794	2101.422	34636212	6.6924186
Afghanistan	AFG	2017	3.6315	2096.093	35643420	6.8006945
Afghanistan	AFG	2018	3.2033	2060.699	36686788	6.7435727
Afghanistan	AFG	2019	2.5669	2079.9219	37769496	7.180397
Afghanistan	AFG	2020	2.5229	1968.341	38972236	6.594439
Afghanistan	AFG	2021	2.4038	1516.3057	40099460	4.0224977
Albania	ALB	2011	5.133704	11054.788	2900660	4.8954477
Albania	ALB	2012		11229.992	2892191	5.4284067
Albania	ALB	2013		11363.318	2887019	4.2950954
Albania	ALB	2014	4.959	11588.925	2884100	4.64616
Albania	ALB	2015	4.655	11880.598	2882482	2.22031
Albania	ALB	2016	4.644	12294.077	2881064	2.7420435
Albania	ALB	2017	4.586	12773.269	2879361	2.01434
Albania	ALB	2018	4.7186	13319.495	2877019	2.294046
Albania	ALB	2019	4.8827	13655.665	2873883	2.2617478
Albania	ALB	2020	5.1174	13256.125	2866850	2.127772
Albania	ALB	2021	5.1988	14518.906	2854710	2.3119686
Algeria	DZA	2011	5.367827	11113.969	36543548	0.76620924
Algeria	DZA	2012		11270.701	37260568	1.4036288
Algeria	DZA	2013		11360.638	38000628	1.2631371
Algeria	DZA	2014	5.605	11561.26	38760168	1.4886416
Algeria	DZA	2015	6.355	11751.634	39543148	1.38077
Algeria	DZA	2016	5.872	11888.323	40339328	1.343602
Algeria	DZA	2017	5.2946	11809.483	41136548	1.2738065
Algeria	DZA	2018	5.2113	11725.878	41927008	1.3547354
Algeria	DZA	2019	5.0051	11627.28	42705372	1.2153039
Algeria	DZA	2020	4.8871	10844.7705	43451668	1.5051206
Algeria	DZA	2021	5.1223	11039.806	44177964	1.5731823
American Samoa	ASM	2011			54334	9.206408
American Samoa	ASM	2012			53718	3.7249844
American Samoa	ASM	2013			53017	5.6609116
American Samoa	ASM	2014			52234	5.7453103
American Samoa	ASM	2015			51391	7.786949
American Samoa	ASM	2016			50468	0
American Samoa	ASM	2017			49486	14.151993
American Samoa	ASM	2018			48445	26.846191
American Samoa	ASM	2019			47341	0
Andorra	AND	2011			70587	1.4170829
Andorra	AND	2012			71035	0
Andorra	AND	2013			71385	0
Andorra	AND	2014			71644	0
Andorra	AND	2015			71766	0
Andorra	AND	2020			77723	2.5740025
Angola	AGO	2011	4.17838	7664.44	24259120	4.3488812
Angola	AGO	2012		8012.101	25188298	4.8316097
Angola	AGO	2015	3.866	7967.104	28127724	4.4582353
Angola	AGO	2016	3.795	7488.1387	29154742	4.102248
Anguilla	AIA	2011			13363	0
Anguilla	AIA	2012			13479	37.160908
Anguilla	AIA	2013			13727	7.29927
Anguilla	AIA	2014			14143	28.327608
Antigua and Barbuda	ATG	2012		18526.39	87688	11.40589
Antigua and Barbuda	ATG	2017		20777.875	91133	21.94932
Antigua and Barbuda	ATG	2018		22085.262	91644	13.09679
Antigua and Barbuda	ATG	2019		23035.658	92127	3.2567456
Antigua and Barbuda	ATG	2020		18275.69	92672	9.71251
Antigua and Barbuda	ATG	2021		19124.43	93229	17.163792
Argentina	ARG	2011	6.242357	24647.629	41520736	6.0475802
Argentina	ARG	2012		24118.867	41952364	6.3119206
Argentina	ARG	2013		24424.137	42388268	7.247288
Argentina	ARG	2014	6.574	23550.1	42824064	7.53782
Argentina	ARG	2015	6.65	23933.887	43257064	6.558466
Argentina	ARG	2016	6.599	23189.527	43668236	6.011234
Argentina	ARG	2017	6.388	23597.117	44054616	5.259381
Argentina	ARG	2018	6.0863	22747.242	44413592	5.367726
Argentina	ARG	2019	5.9747	22071.748	44745516	5.155823
Argentina	ARG	2020	5.9293	19685.217	45036032	5.3668137
Argentina	ARG	2021	5.967	21527.195	45276788	4.6226788
Armenia	ARM	2011	4.473529	9551.158	2928984	2.4240553
Armenia	ARM	2012		10289.976	2914428	2.2302885
Armenia	ARM	2013		10677.304	2901386	2.1713772
Armenia	ARM	2014	4.35	11105.532	2889937	2.4914103
Armenia	ARM	2015	4.36	11506.039	2878598	2.6054382
Armenia	ARM	2016	4.376	11580.384	2865841	3.0357645
Armenia	ARM	2017	4.3206	12509.64	2851929	2.4544842
Armenia	ARM	2018	4.5594	13231.431	2836563	1.7627003
Armenia	ARM	2019	4.6768	14317.553	2820604	2.5881004
Armenia	ARM	2020	5.2826	13357.697	2805610	1.8534304
Armenia	ARM	2021	5.3986	14193.117	2790971	2.1856172
Aruba	ABW	2011		34446.855	101304	1.9745675
Aruba	ABW	2012		33815.11	102126	3.9172864
Aruba	ABW	2013		35720.7	102891	5.8320374
Aruba	ABW	2014		35467.234	103607	1.9306138
Australia	AUS	2011	7.344625	45405.367	22357032	1.1092706
Australia	AUS	2012		46360.605	22729272	1.0691061
Australia	AUS	2013		46744.625	23111788	1.0600654
Australia	AUS	2014	7.284	47240.273	23469578	1.0353829
Australia	AUS	2015	7.313	47567.68	23820240	0.99075425
Australia	AUS	2016	7.284	48109.203	24195706	0.9381832
Australia	AUS	2017	7.2721	48400.246	24590336	0.84586084
Australia	AUS	2018	7.228	49052.816	24979228	0.88473505
Australia	AUS	2019	7.2228	49379.094	25357168	0.887323
Australia	AUS	2020	7.1835	48747.85	25670052	0.86092544
Australia	AUS	2021	7.1621	49774.34	25921094	0.74456745
Austria	AUT	2011	7.227316	53179.15	8391201	0.91762805
Austria	AUT	2012		53297.445	8429641	0.96089554
Austria	AUT	2013		52997.754	8479542	0.7193787
Austria	AUT	2014	7.2	52932.9	8546066	0.4914542
Austria	AUT	2015	7.119	52873.86	8642422	0.5091166
Austria	AUT	2016	7.006	53345.742	8736491	0.6180974
Austria	AUT	2017	7.1394	54172.99	8797497	0.79568094
Austria	AUT	2018	7.246	55217.285	8840518	0.9727943
Austria	AUT	2019	7.2942	55806.438	8879939	0.867123
Austria	AUT	2020	7.2678	51988.414	8907780	0.72969943
Austria	AUT	2021	7.163	54121.145	8922086	0.7285295
Azerbaijan	AZE	2011	4.581938	13913.837	9359018	2.2545109
Azerbaijan	AZE	2012		14027.469	9485577	2.129549
Azerbaijan	AZE	2013		14651.694	9614478	2.2986166
Azerbaijan	AZE	2014	5.212	14867.943	9741879	2.4225302
Azerbaijan	AZE	2015	5.291	14852.611	9863485	2.1392045
Azerbaijan	AZE	2016	5.234	14232.192	9976254	1.6940236
