Entity	Code	Year	"Homicide rate per 100,000 population - Both sexes - All ages"
Afghanistan	AFG	2011	4.208668
Afghanistan	AFG	2012	6.393913
Afghanistan	AFG	2015	9.975262
Afghanistan	AFG	2016	6.6924186
Afghanistan	AFG	2017	6.8006945
Afghanistan	AFG	2018	6.7435727
Afghanistan	AFG	2019	7.180397
Afghanistan	AFG	2020	6.594439
Afghanistan	AFG	2021	4.0224977
Albania	ALB	2011	4.8954477
Albania	ALB	2012	5.4284067
Albania	ALB	2013	4.2950954
Albania	ALB	2014	4.64616
Albania	ALB	2015	2.22031
Albania	ALB	2016	2.7420435
Albania	ALB	2017	2.01434
Albania	ALB	2018	2.294046
Albania	ALB	2019	2.2617478
Albania	ALB	2020	2.127772
Albania	ALB	2021	2.3119686
Algeria	DZA	2011	0.76620924
Algeria	DZA	2012	1.4036288
Algeria	DZA	2013	1.2631371
Algeria	DZA	2014	1.4886416
Algeria	DZA	2015	1.38077
Algeria	DZA	2016	1.343602
Algeria	DZA	2017	1.2738065
Algeria	DZA	2018	1.3547354
Algeria	DZA	2019	1.2153039
Algeria	DZA	2020	1.5051206
Algeria	DZA	2021	1.5731823
American Samoa	ASM	2011	9.206408
American Samoa	ASM	2012	3.7249844
American Samoa	ASM	2013	5.6609116
American Samoa	ASM	2014	5.7453103
American Samoa	ASM	2015	7.786949
American Samoa	ASM	2016	0
American Samoa	ASM	2017	14.151993
American Samoa	ASM	2018	26.846191
American Samoa	ASM	2019	0
Andorra	AND	2011	1.4170829
Andorra	AND	2012	0
Andorra	AND	2013	0
Andorra	AND	2014	0
Andorra	AND	2015	0
Andorra	AND	2020	2.5740025
Angola	AGO	2011	4.3488812
Angola	AGO	2012	4.8316097
Angola	AGO	2015	4.4582353
Angola	AGO	2016	4.102248
Anguilla	AIA	2011	0
Anguilla	AIA	2012	37.160908
Anguilla	AIA	2013	7.29927
Anguilla	AIA	2014	28.327608
Antigua and Barbuda	ATG	2012	11.40589
Antigua and Barbuda	ATG	2017	21.94932
Antigua and Barbuda	ATG	2018	13.09679
Antigua and Barbuda	ATG	2019	3.2567456
Antigua and Barbuda	ATG	2020	9.71251
Antigua and Barbuda	ATG	2021	17.163792
Argentina	ARG	2011	6.0475802
Argentina	ARG	2012	6.3119206
Argentina	ARG	2013	7.247288
Argentina	ARG	2014	7.53782
Argentina	ARG	2015	6.558466
Argentina	ARG	2016	6.011234
Argentina	ARG	2017	5.259381
Argentina	ARG	2018	5.367726
Argentina	ARG	2019	5.155823
Argentina	ARG	2020	5.3668137
Argentina	ARG	2021	4.6226788
Armenia	ARM	2011	2.4240553
Armenia	ARM	2012	2.2302885
Armenia	ARM	2013	2.1713772
Armenia	ARM	2014	2.4914103
Armenia	ARM	2015	2.6054382
Armenia	ARM	2016	3.0357645
Armenia	ARM	2017	2.4544842
Armenia	ARM	2018	1.7627003
Armenia	ARM	2019	2.5881004
Armenia	ARM	2020	1.8534304
Armenia	ARM	2021	2.1856172
Aruba	ABW	2011	1.9745675
Aruba	ABW	2012	3.9172864
Aruba	ABW	2013	5.8320374
Aruba	ABW	2014	1.9306138
Australia	AUS	2011	1.1092706
Australia	AUS	2012	1.0691061
Australia	AUS	2013	1.0600654
Australia	AUS	2014	1.0353829
Australia	AUS	2015	0.99075425
Australia	AUS	2016	0.9381832
Australia	AUS	2017	0.84586084
Australia	AUS	2018	0.88473505
Australia	AUS	2019	0.887323
Australia	AUS	2020	0.86092544
Australia	AUS	2021	0.74456745
Austria	AUT	2011	0.91762805
Austria	AUT	2012	0.96089554
Austria	AUT	2013	0.7193787
Austria	AUT	2014	0.4914542
Austria	AUT	2015	0.5091166
Austria	AUT	2016	0.6180974
Austria	AUT	2017	0.79568094
Austria	AUT	2018	0.9727943
Austria	AUT	2019	0.867123
Austria	AUT	2020	0.72969943
Austria	AUT	2021	0.7285295
Azerbaijan	AZE	2011	2.2545109
Azerbaijan	AZE	2012	2.129549
Azerbaijan	AZE	2013	2.2986166
Azerbaijan	AZE	2014	2.4225302
Azerbaijan	AZE	2015	2.1392045
Azerbaijan	AZE	2016	1.6940236
Azerbaijan	AZE	2017	1.8070674
Azerbaijan	AZE	2018	1.9404047
Azerbaijan	AZE	2019	1.6417869
Azerbaijan	AZE	2020	2.236277
Azerbaijan	AZE	2021	1.9102119
Bahamas	BHS	2011	33.60233
Bahamas	BHS	2012	28.791214
Bahamas	BHS	2013	30.856995
Bahamas	BHS	2014	31.35191
Bahamas	BHS	2015	37.178745
Bahamas	BHS	2016	28.031967
Bahamas	BHS	2017	30.57491
Bahamas	BHS	2018	22.642082
Bahamas	BHS	2019	23.482475
Bahamas	BHS	2020	17.959438
Bahamas	BHS	2021	29.173424
Bahrain	BHR	2011	0.99003613
Bahrain	BHR	2012	0.7347302
Bahrain	BHR	2013	0.87185824
Bahrain	BHR	2014	0.6864284
Bahrain	BHR	2015	0.22024135
Bahrain	BHR	2016	0.28375617
Bahrain	BHR	2017	0.411852
Bahrain	BHR	2018	0.33617073
Bahrain	BHR	2019	0.26770383
Bahrain	BHR	2020	0
Bahrain	BHR	2021	0.068340294
Bangladesh	BGD	2011	2.640286
Bangladesh	BGD	2012	2.7049658
Bangladesh	BGD	2013	2.8520393
Bangladesh	BGD	2014	2.8943079
Bangladesh	BGD	2015	2.556548
Bangladesh	BGD	2016	2.247401
Bangladesh	BGD	2017	2.1935306
Bangladesh	BGD	2018	2.339875
Barbados	BRB	2011	9.800843
Barbados	BRB	2012	7.965315
Barbados	BRB	2013	8.668485
Barbados	BRB	2014	9.009236
Barbados	BRB	2015	11.147751
Barbados	BRB	2016	7.8952374
Barbados	BRB	2017	10.745486
Barbados	BRB	2018	10.011137
Barbados	BRB	2019	17.131874
Barbados	BRB	2020	14.606706
Barbados	BRB	2021	11.379821
Belarus	BLR	2011	3.842595
Belarus	BLR	2012	3.5074148
Belarus	BLR	2013	3.4361296
Belarus	BLR	2014	3.5074184
Belarus	BLR	2015	3.3606138
Belarus	BLR	2016	3.1623044
Belarus	BLR	2017	2.4722195
Belarus	BLR	2018	2.3309605
Belarus	BLR	2019	2.3258288
Belgium	BEL	2021	1.0765264
Belize	BLZ	2011	37.628494
Belize	BLZ	2012	43.019176
Belize	BLZ	2013	28.721668
Belize	BLZ	2014	34.909958
Belize	BLZ	2015	33.067406
Belize	BLZ	2016	37.57019
Belize	BLZ	2017	37.89764
Belize	BLZ	2018	37.42809
Belize	BLZ	2019	34.43889
Belize	BLZ	2020	25.827984
Belize	BLZ	2021	31.247578
Bermuda	BMU	2011	12.591882
Bermuda	BMU	2012	9.439825
Bermuda	BMU	2013	7.873272
Bermuda	BMU	2014	6.3136296
Bermuda	BMU	2015	6.334727
Bermuda	BMU	2016	12.684721
Bermuda	BMU	2017	7.902015
Bermuda	BMU	2019	0
Bermuda	BMU	2020	10.93229
Bermuda	BMU	2021	10.905975
Bhutan	BTN	2011	4.485999
Bhutan	BTN	2012	4.576053
Bhutan	BTN	2013	3.2926848
Bhutan	BTN	2015	1.6144786
Bhutan	BTN	2016	1.2003818
Bhutan	BTN	2017	1.7193004
Bhutan	BTN	2018	1.1809528
Bhutan	BTN	2019	1.042401
Bhutan	BTN	2020	2.4595277
Bolivia	BOL	2015	4.896265
Bolivia	BOL	2016	5.7000723
Bolivia	BOL	2017	6.5322704
Bolivia	BOL	2018	4.945332
Bolivia	BOL	2019	4.2199774
Bolivia	BOL	2020	3.4935853
Bolivia	BOL	2021	3.4935303
Bosnia and Herzegovina	BIH	2011	1.362492
Bosnia and Herzegovina	BIH	2012	1.7145778
Bosnia and Herzegovina	BIH	2013	1.2715758
Bosnia and Herzegovina	BIH	2014	1.4001416
Bosnia and Herzegovina	BIH	2015	1.6173314
Bosnia and Herzegovina	BIH	2016	1.2927371
Bosnia and Herzegovina	BIH	2017	1.2209207
Bosnia and Herzegovina	BIH	2018	1.1470153
Bosnia and Herzegovina	BIH	2019	1.2497354
Bosnia and Herzegovina	BIH	2020	1.2958022
Bosnia and Herzegovina	BIH	2021	0.9783111
Botswana	BWA	2020	8.678912
Botswana	BWA	2021	10.546963
Brazil	BRA	2011	26.355639
Brazil	BRA	2012	28.197144
Brazil	BRA	2013	28.179903
Brazil	BRA	2014	29.358646
Brazil	BRA	2015	28.356405
Brazil	BRA	2016	29.589155
Brazil	BRA	2017	30.593037
Brazil	BRA	2018	26.636013
Brazil	BRA	2019	20.810465
Brazil	BRA	2020	22.384066
Brunei	BRN	2011	0.24906228
Brunei	BRN	2012	0.98368555
Brunei	BRN	2013	0.48578766
Bulgaria	BGR	2011	1.6969084
Bulgaria	BGR	2012	1.8829263
Bulgaria	BGR	2013	1.4667951
Bulgaria	BGR	2014	1.5192329
Bulgaria	BGR	2015	1.7238423
Bulgaria	BGR	2016	1.0902605
Bulgaria	BGR	2017	1.4340553
Bulgaria	BGR	2018	1.2926013
Bulgaria	BGR	2019	1.1768823
Bulgaria	BGR	2020	0.9886556
Bulgaria	BGR	2021	1.2779799
Burundi	BDI	2012	5.1043954
Burundi	BDI	2013	5.123366
Burundi	BDI	2014	5.3740325
Burundi	BDI	2015	4.2975073
Burundi	BDI	2016	5.82391
Cambodia	KHM	2011	1.8389057
Cameroon	CMR	2011	4.0833545
Cameroon	CMR	2012	4.1839643
Cameroon	CMR	2015	3.741421
